ref_ds,ref_fournisseur,libelle_source,groupe_articles,code_remise,code_barre,type_code_barre,source_ligne
V012400,,Capuchon purge avec évacuation en bas DW32 Ø 400 mm,CHEM,A01,5900856024968,EAN13,18417
V012400,,Capuchon purge avec évacuation en bas DW32 Ø 400 mm,CHEM,A01,5900856019841,EAN13,18418
V012450,,Capuchon purge avec évacuation en bas DW32 Ø 450 mm,CHEM,A01,5900856019858,EAN13,18419
V012500,,Capuchon purge avec évacuation en bas DW32 Ø 500 mm,CHEM,A01,5900856024982,EAN13,18420
V012500,,Capuchon purge avec évacuation en bas DW32 Ø 500 mm,CHEM,A01,5900856019865,EAN13,18421
V012550,,Capuchon purge avec évacuation en bas DW32 Ø 550 mm,CHEM,A01,5900856541366,EAN13,18422
V012550,,Capuchon purge avec évacuation en bas DW32 Ø 550 mm,CHEM,A01,5900856024999,EAN13,18423
V012600,,Capuchon purge avec évacuation en bas DW32 Ø 600 mm,CHEM,A01,5900856025002,EAN13,18424
V012600,,Capuchon purge avec évacuation en bas DW32 Ø 600 mm,CHEM,A01,5900856541373,EAN13,18425
V012B130,,Tampon + purge latérale Ø130 mm,CHEM,N03,5900856871852,EAN13,18426
V012B150,,Tampon + purge latérale Ø150 mm,CHEM,N03,5900856871869,EAN13,18427
V012B180,,Tampon + purge latérale Ø180 mm,CHEM,N03,5900856871876,EAN13,18428
V012B200,,Tampon + purge latérale Ø200 mm,CHEM,N03,5900856871883,EAN13,18429
V012B250,,Tampon + purge latérale Ø250 mm,CHEM,N03,5900856871890,EAN13,18430
V012B300,,Tampon + purge latérale Ø300 mm,CHEM,N03,5900856871906,EAN13,18431
V012B350,,Tampon + purge latérale Ø350 mm,CHEM,N03,5900856871913,EAN13,18432
V012B400,,Tampon + purge latérale Ø400 mm,CHEM,N03,5900856871920,EAN13,18433
V012B450,,Tampon + purge latérale Ø450 mm,CHEM,N03,5900856871937,EAN13,18434
V012B500,,Tampon + purge latérale Ø500 mm,CHEM,N03,5900856871944,EAN13,18435
V012B550,,Tampon + purge latérale Ø550 mm,CHEM,N03,5900856871951,EAN13,18436
V012B600,,Tampon + purge latérale Ø600 mm,CHEM,N03,5900856871968,EAN13,18437
V013130,,Coude 15° DW32 Ø 130 mm,CHEM,A01,5900856144888,EAN13,18438
V013150,DW16B150,Coude 15° DW32 Ø 150 mm,CHEM,A01,5900856014075,EAN13,18439
V013150,DW16B150,Coude 15° DW32 Ø 150 mm,CHEM,A01,5900856144871,EAN13,18440
V013180,,Coude 15° DW32 Ø 180 mm,CHEM,A01,5900856144857,EAN13,18441
V013180,,Coude 15° DW32 Ø 180 mm,CHEM,A01,5900856014099,EAN13,18442
V013200,,Coude 15° DW32 Ø 200 mm,CHEM,A01,5900856144840,EAN13,18443
V013200,,Coude 15° DW32 Ø 200 mm,CHEM,A01,5900856014105,EAN13,18444
V013230,DW16230,Coude 15° DW32 Ø 230 mm,CHEM,A01,5900856171532,EAN13,18445
V013250,DW16B250,Coude 15° DW32 Ø 250 mm,CHEM,A01,5900856014129,EAN13,18446
V013250,DW16B250,Coude 15° DW32 Ø 250 mm,CHEM,A01,5900856144826,EAN13,18447
V013300,DW16B300,Coude 15° DW32 Ø 300 mm,CHEM,A01,5900856014136,EAN13,18448
V013300,DW16B300,Coude 15° DW32 Ø 300 mm,CHEM,A01,5900856144819,EAN13,18449
V013350,,Coude 15° DW32 Ø 350 mm,CHEM,A01,5900856144802,EAN13,18450
V013400,,Coude 15° DW32 Ø 400 mm,CHEM,A01,5900856528541,EAN13,18451
V013400,,Coude 15° DW32 Ø 400 mm,CHEM,A01,5900856144796,EAN13,18452
V013450,,Coude 15° DW32 Ø 450 mm,CHEM,A01,5900856144789,EAN13,18453
V013500,,Coude 15° DW32 Ø 500 mm,CHEM,A01,5900856144772,EAN13,18454
V013550,,Coude 15° DW32 Ø 550 mm,CHEM,A01,5900856171549,EAN13,18455
V013600,,Coude 15° DW32 Ø 600 mm,CHEM,A01,5900856171556,EAN13,18456
V014130,DW17B130,Coude 30° DW32 Ø 130 mm,CHEM,A01,5900856145052,EAN13,18457
V014150,DW17B150,Coude 30° DW32 Ø 150 mm,CHEM,A01,5900856145045,EAN13,18458
V014180,DW17B180,Coude 30° DW32 Ø 180 mm,CHEM,A01,5900856145021,EAN13,18459
V014200,DW17B200,Coude 30° DW32 Ø 200 mm,CHEM,A01,5900856145014,EAN13,18460
V014250,DW17B250,Coude 30° DW32 Ø 250 mm,CHEM,A01,5900856144994,EAN13,18461
V014300,DW17B300,Coude 30° DW32 Ø 300 mm,CHEM,A01,5900856144987,EAN13,18462
V014350,,Coude 30° DW32 Ø 350 mm,CHEM,A01,5900856144970,EAN13,18463
V014400,,Coude 30° DW32 Ø 400 mm,CHEM,A01,5900856144963,EAN13,18464
V014450,,Coude 30° DW32 Ø 450 mm,CHEM,A01,5900856144956,EAN13,18465
V014500,,Coude 30° DW32 Ø 500 mm,CHEM,A01,5900856528749,EAN13,18466
V014550,,Coude 30° DW32 Ø 550 mm,CHEM,A01,5900856014334,EAN13,18467
V014550,,Coude 30° DW32 Ø 550 mm,CHEM,A01,5900856862638,EAN13,18468
V014600,,Coude 30° DW32 Ø 600 mm,CHEM,A01,5900856014341,EAN13,18469
V014600,,Coude 30° DW32 Ø 600 mm,CHEM,A01,5900856862645,EAN13,18470
V015130,DW18B130,Coude 45° DW32 Ø 130 mm,CHEM,A01,5900856145229,EAN13,18471
V015150,DW18B150,Coude 45° DW32 Ø 150 mm,CHEM,A01,5900856145212,EAN13,18472
V015180,DW18B180,Coude 45° DW32 Ø 180 mm,CHEM,A01,5900856145199,EAN13,18473
V015200,DW18B200,Coude 45° DW32 Ø 200 mm,CHEM,A01,5900856145182,EAN13,18474
V015250,DW18B250,Coude 45° DW32 Ø 250 mm,CHEM,A01,5900856145168,EAN13,18475
V015300,DW18B300,Coude 45° DW32 Ø 300 mm,CHEM,A01,5900856145151,EAN13,18476
V015350,DW18B350,Coude 45° DW32 Ø 350 mm,CHEM,A01,5900856145144,EAN13,18477
V015400,DW18B400,Coude 45° DW32 Ø 400 mm,CHEM,A01,5900856145137,EAN13,18478
V015450,,Coude 45° DW32 Ø 450 mm,CHEM,A01,5900856528992,EAN13,18479
V015500,,Coude 45° DW32 Ø 500 mm,CHEM,A01,5900856529005,EAN13,18480
V015550,,Coude 45° DW32 Ø 550 mm,CHEM,A01,5900856014501,EAN13,18481
