articles_numero;photo_source;articles_photo;type_correspondance;statut;detail
A06C300300130;;;aucune;IGNOREE;
A06C300300150;;;aucune;IGNOREE;
A06C300300180;;;aucune;IGNOREE;
A06C300500080;;;aucune;IGNOREE;
A06C300500100;;;aucune;IGNOREE;
A06C300500130;;;aucune;IGNOREE;
A06C300500150;;;aucune;IGNOREE;
A06C300500180;;;aucune;IGNOREE;
A06C350350080;;;aucune;IGNOREE;
A06C350350100;;;aucune;IGNOREE;
A06C350350130;;;aucune;IGNOREE;
A06C350350150;;;aucune;IGNOREE;
A06C350350180;;;aucune;IGNOREE;
A06C400400080;;;aucune;IGNOREE;
A06C400400100;;;aucune;IGNOREE;
A06C400400130;;;aucune;IGNOREE;
A06C400400150;;;aucune;IGNOREE;
A06C400400180;;;aucune;IGNOREE;
A06C500500080;;;aucune;IGNOREE;
A06C500500100;;;aucune;IGNOREE;
A06C500500130;;;aucune;IGNOREE;
A06C500500150;;;aucune;IGNOREE;
A06C500500180;;;aucune;IGNOREE;
A06D360080;;;aucune;IGNOREE;
A06D360100;;;aucune;IGNOREE;
A06D360130;;;aucune;IGNOREE;
A06D360150;;;aucune;IGNOREE;
A06D360180;;;aucune;IGNOREE;
A06D550080;;;aucune;IGNOREE;
A06D550100;;;aucune;IGNOREE;
A06D550130;;;aucune;IGNOREE;
A06D550150;;;aucune;IGNOREE;
A06D550180;;;aucune;IGNOREE;
A06E300300080;;;aucune;IGNOREE;
A06E300300100;;;aucune;IGNOREE;
A06E300300130;;;aucune;IGNOREE;
A06E300300150;;;aucune;IGNOREE;
A06E300300180;;;aucune;IGNOREE;
A06E300500080;;;aucune;IGNOREE;
A06E300500100;;;aucune;IGNOREE;
A06E300500130;;;aucune;IGNOREE;
A06E300500150;;;aucune;IGNOREE;
A06E300500180;;;aucune;IGNOREE;
A06E350350080;;;aucune;IGNOREE;
A06E350350100;;;aucune;IGNOREE;
A06E350350130;;;aucune;IGNOREE;
A06E350350150;;;aucune;IGNOREE;
A06E350350180;;;aucune;IGNOREE;
A06E400400080;;;aucune;IGNOREE;
A06E400400100;;;aucune;IGNOREE;
A06E400400130;;;aucune;IGNOREE;
A06E400400150;;;aucune;IGNOREE;
A06E400400180;;;aucune;IGNOREE;
A06E500500080;;;aucune;IGNOREE;
A06E500500100;;;aucune;IGNOREE;
A06E500500130;;;aucune;IGNOREE;
A06E500500150;;;aucune;IGNOREE;
A06E500500180;;;aucune;IGNOREE;
A06F360080;;;aucune;IGNOREE;
A06F360100;;;aucune;IGNOREE;
A06F360130;;;aucune;IGNOREE;
A06F360150;;;aucune;IGNOREE;
A06F360180;;;aucune;IGNOREE;
A06F550080;;;aucune;IGNOREE;
A06F550100;;;aucune;IGNOREE;
A06F550130;;;aucune;IGNOREE;
A06F550150;;;aucune;IGNOREE;
A06F550180;;;aucune;IGNOREE;
A07080;;;aucune;IGNOREE;
A07090;;;aucune;IGNOREE;
A07100;;;aucune;IGNOREE;
A07111;;;aucune;IGNOREE;
A07125;;;aucune;IGNOREE;
A07130;;;aucune;IGNOREE;
A07140;;;aucune;IGNOREE;
A07150;;;aucune;IGNOREE;
A07180;;;aucune;IGNOREE;
A07200;;;aucune;IGNOREE;
A07250;;;aucune;IGNOREE;
A07300;;;aucune;IGNOREE;
A10080;;;aucune;IGNOREE;
A10100;;;aucune;IGNOREE;
A10111;;;aucune;IGNOREE;
A10125;;;aucune;IGNOREE;
A10130;;;aucune;IGNOREE;
A10140;;;aucune;IGNOREE;
A10150;;;aucune;IGNOREE;
A10180;;;aucune;IGNOREE;
A10200;;;aucune;IGNOREE;
A10250;;;aucune;IGNOREE;
A10300;;;aucune;IGNOREE;
A11125;;;aucune;IGNOREE;
A11140;;;aucune;IGNOREE;
A11200;;;aucune;IGNOREE;
A14080;;;aucune;IGNOREE;
A14080 C;;;aucune;IGNOREE;
A14100;;;aucune;IGNOREE;
A14100 C;;;aucune;IGNOREE;
A14111;;;aucune;IGNOREE;
A14111 C;;;aucune;IGNOREE;
A14125;;;aucune;IGNOREE;
A14125 C;;;aucune;IGNOREE;
A14140;;;aucune;IGNOREE;
A14140 C;;;aucune;IGNOREE;
A14150;;;aucune;IGNOREE;
A14150 C;;;aucune;IGNOREE;
A14180;;;aucune;IGNOREE;
A14180 C;;;aucune;IGNOREE;
A14200;;;aucune;IGNOREE;
A14200 C;;;aucune;IGNOREE;
A14250;;;aucune;IGNOREE;
A14250 C;;;aucune;IGNOREE;
A14300;;;aucune;IGNOREE;
A14A1;;;aucune;IGNOREE;
A14A2;;;aucune;IGNOREE;
A14A3;;;aucune;IGNOREE;
A14B;;;aucune;IGNOREE;
A14B080;;;aucune;IGNOREE;
A15;;;aucune;IGNOREE;
A15B;;;aucune;IGNOREE;
A15PALETTE;;;aucune;IGNOREE;
A16;;;aucune;IGNOREE;
A17;;;aucune;IGNOREE;
A30077;;;aucune;IGNOREE;
A30080;;;aucune;IGNOREE;
A30100;;;aucune;IGNOREE;
A30111;;;aucune;IGNOREE;
A30120;;;aucune;IGNOREE;
A30125;;;aucune;IGNOREE;
A30140;;;aucune;IGNOREE;
A30150;;;aucune;IGNOREE;
A30160;;;aucune;IGNOREE;
A30180;;;aucune;IGNOREE;
A30200;;;aucune;IGNOREE;
A30250;;;aucune;IGNOREE;
A30B077;;;aucune;IGNOREE;
A30B080;;;aucune;IGNOREE;
A30B100;;;aucune;IGNOREE;
A30B111;;;aucune;IGNOREE;
A30B120;;;aucune;IGNOREE;
A30B125;;;aucune;IGNOREE;
A30B130;;;aucune;IGNOREE;
A30B140;;;aucune;IGNOREE;
A30B150;;;aucune;IGNOREE;
A30B160;;;aucune;IGNOREE;
A30B180;;;aucune;IGNOREE;
A31077;;;aucune;IGNOREE;
A31080;;;aucune;IGNOREE;
A31090;;;aucune;IGNOREE;
A31100;;;aucune;IGNOREE;
A31105;;;aucune;IGNOREE;
A31111;;;aucune;IGNOREE;
A31120;;;aucune;IGNOREE;
A31125;;;aucune;IGNOREE;
A31130;;;aucune;IGNOREE;
A31140;;;aucune;IGNOREE;
A31150;;;aucune;IGNOREE;
A31160;;;aucune;IGNOREE;
A31200;;;aucune;IGNOREE;
A31250;;;aucune;IGNOREE;
AC600083;;;aucune;IGNOREE;
ACIX2220810;;;aucune;IGNOREE;
ACL00100F;;;aucune;IGNOREE;
ACL00248;;;aucune;IGNOREE;
ACL00249;;;aucune;IGNOREE;
ACL00250;;;aucune;IGNOREE;
ACL05066V;;;aucune;IGNOREE;
ACL100005;;;aucune;IGNOREE;
ACL100010;;;aucune;IGNOREE;
ACL100013;;;aucune;IGNOREE;
ACL100022;;;aucune;IGNOREE;
ACL100033;;;aucune;IGNOREE;
ACL100048;;;aucune;IGNOREE;
ACL100094;;;aucune;IGNOREE;
ACL100146;;;aucune;IGNOREE;
ACL100147;;;aucune;IGNOREE;
ACL100149;;;aucune;IGNOREE;
ACL100150;;;aucune;IGNOREE;
ACL100152;;;aucune;IGNOREE;
ACL100153;;;aucune;IGNOREE;
ACL100155;;;aucune;IGNOREE;
ACL100156;;;aucune;IGNOREE;
ACL100159;;;aucune;IGNOREE;
ACL100160;;;aucune;IGNOREE;
ACL100162;;;aucune;IGNOREE;
ACL100163;;;aucune;IGNOREE;
ACL100165;;;aucune;IGNOREE;
ACL100168;;;aucune;IGNOREE;
ACL100169;;;aucune;IGNOREE;
ACL100171;;;aucune;IGNOREE;
ACL100172;;;aucune;IGNOREE;
ACL100176;;;aucune;IGNOREE;
ACL100177;;;aucune;IGNOREE;
ACL100179;;;aucune;IGNOREE;
ACL100180;;;aucune;IGNOREE;
ACL100228;;;aucune;IGNOREE;
ACL100229;;;aucune;IGNOREE;
ACL100372;;;aucune;IGNOREE;
ACL100373;;;aucune;IGNOREE;
ACL100375;;;aucune;IGNOREE;
ACL100376;;;aucune;IGNOREE;
ACL100378;;;aucune;IGNOREE;
ACL100379;;;aucune;IGNOREE;
ACL100382;;;aucune;IGNOREE;
ACL100383;;;aucune;IGNOREE;
ACL100385;;;aucune;IGNOREE;
ACL100386;;;aucune;IGNOREE;
ACL100388;;;aucune;IGNOREE;
ACL100389;;;aucune;IGNOREE;
ACL100390;;;aucune;IGNOREE;
ACL100393;;;aucune;IGNOREE;
ACL100396;;;aucune;IGNOREE;
ACL100400;;;aucune;IGNOREE;
ACL100401;;;aucune;IGNOREE;
ACL100610;;;aucune;IGNOREE;
ACL100611;;;aucune;IGNOREE;
ACL106002;;;aucune;IGNOREE;
ACL106003;;;aucune;IGNOREE;
ACL106005;;;aucune;IGNOREE;
ACL106006;;;aucune;IGNOREE;
ACL106008;;;aucune;IGNOREE;
ACL106009;;;aucune;IGNOREE;
ACL106014;;;aucune;IGNOREE;
ACL106015;;;aucune;IGNOREE;
ACL106020;;;aucune;IGNOREE;
ACL106021;;;aucune;IGNOREE;
ACL106027;;;aucune;IGNOREE;
ACL106029;;;aucune;IGNOREE;
ACL106032;;;aucune;IGNOREE;
ACL106033;;;aucune;IGNOREE;
ACL106039;;;aucune;IGNOREE;
ACL106040;;;aucune;IGNOREE;
ACL106042;;;aucune;IGNOREE;
ACL106043;;;aucune;IGNOREE;
ACL110596;;;aucune;IGNOREE;
ACL110597;;;aucune;IGNOREE;
ACL110599;;;aucune;IGNOREE;
ACL110601;;;aucune;IGNOREE;
ACL110607;;;aucune;IGNOREE;
ACL110613;;;aucune;IGNOREE;
ACL110618;;;aucune;IGNOREE;
ACL110619;;;aucune;IGNOREE;
ACL110620;;;aucune;IGNOREE;
ACL110643;;;aucune;IGNOREE;
ACL111263;;;aucune;IGNOREE;
ACL122003;;;aucune;IGNOREE;
ACL125000;;;aucune;IGNOREE;
ACL125017;;;aucune;IGNOREE;
ACL125018;;;aucune;IGNOREE;
ACL130075;;;aucune;IGNOREE;
ACL130100;;;aucune;IGNOREE;
ACL132067;;;aucune;IGNOREE;
ACL132081;;;aucune;IGNOREE;
ACL170037;;;aucune;IGNOREE;
ACL200014;;;aucune;IGNOREE;
ACL200015;;;aucune;IGNOREE;
ACL200016;;;aucune;IGNOREE;
ACL200017;;;aucune;IGNOREE;
ACL300003;;;aucune;IGNOREE;
ACL300026;;;aucune;IGNOREE;
ACL400031;;;aucune;IGNOREE;
ACL400032;;;aucune;IGNOREE;
ACL400033;;;aucune;IGNOREE;
ACL500021;;;aucune;IGNOREE;
ACL500085;;;aucune;IGNOREE;
ACL500242;;;aucune;IGNOREE;
ACL600103;;;aucune;IGNOREE;
ACL600106;;;aucune;IGNOREE;
ACL600108;C:\Users\p.bertho\Documents\generateur_etiquettes\Photos produits\ACL600108.png;ACL600108.png;exacte;OK;
ADC 2;;;aucune;IGNOREE;
ADC 3;;;aucune;IGNOREE;
ADC 4;;;aucune;IGNOREE;
ADC 5;;;aucune;IGNOREE;
ADC 6;;;aucune;IGNOREE;
ADC 7;;;aucune;IGNOREE;
ADC 8;;;aucune;IGNOREE;
ADC 9;;;aucune;IGNOREE;
ADJM;;;aucune;IGNOREE;
ADJM2;;;aucune;IGNOREE;
ADJM3;;;aucune;IGNOREE;
ADWF-0-125;;;aucune;IGNOREE;
AE01080;;;aucune;IGNOREE;
AE01100;;;aucune;IGNOREE;
AE01B080;;;aucune;IGNOREE;
AE02080;;;aucune;IGNOREE;
AE02100;;;aucune;IGNOREE;
AE03080;;;aucune;IGNOREE;
AE03100;;;aucune;IGNOREE;
AE04080;;;aucune;IGNOREE;
AE04100;;;aucune;IGNOREE;
AE04B080;;;aucune;IGNOREE;
AE05080;;;aucune;IGNOREE;
AE05100;;;aucune;IGNOREE;
AE06080;;;aucune;IGNOREE;
AE06100;;;aucune;IGNOREE;
AE06B080;;;aucune;IGNOREE;
AE10080;;;aucune;IGNOREE;
AE10100;;;aucune;IGNOREE;
AE11080;;;aucune;IGNOREE;
AE11100;;;aucune;IGNOREE;
AE12080;;;aucune;IGNOREE;
AE13080100;;;aucune;IGNOREE;
AE14100080;;;aucune;IGNOREE;
AE15080;;;aucune;IGNOREE;
AE15100;;;aucune;IGNOREE;
AE160100;;;aucune;IGNOREE;
AE16080;;;aucune;IGNOREE;
AE17080;;;aucune;IGNOREE;
AE17100;;;aucune;IGNOREE;
AEAIR060B;;;aucune;IGNOREE;
AEB02130;;;aucune;IGNOREE;
AEB02150;;;aucune;IGNOREE;
AEB02180;;;aucune;IGNOREE;
AEB02200;;;aucune;IGNOREE;
AEB04130;;;aucune;IGNOREE;
AEB04150;;;aucune;IGNOREE;
AEB04180;;;aucune;IGNOREE;
AEB04200;;;aucune;IGNOREE;
AEB05130;;;aucune;IGNOREE;
AEB05150;;;aucune;IGNOREE;
AEB05180;;;aucune;IGNOREE;
AEB05200;;;aucune;IGNOREE;
AEB07130;;;aucune;IGNOREE;
AEB07150;;;aucune;IGNOREE;
AEB07180;;;aucune;IGNOREE;
AEB07200;;;aucune;IGNOREE;
AEB09130;;;aucune;IGNOREE;
AEB09150;;;aucune;IGNOREE;
AEB09180;;;aucune;IGNOREE;
AEB09200;;;aucune;IGNOREE;
AEB10130;;;aucune;IGNOREE;
AEB10150;;;aucune;IGNOREE;
AEB10180;;;aucune;IGNOREE;
AEB10200;;;aucune;IGNOREE;
AEB12130;;;aucune;IGNOREE;
AEB12150;;;aucune;IGNOREE;
AEB12180;;;aucune;IGNOREE;
AEB12200;;;aucune;IGNOREE;
AEB17130;;;aucune;IGNOREE;
AEB17150;;;aucune;IGNOREE;
AEB17180;;;aucune;IGNOREE;
AEB17200;;;aucune;IGNOREE;
AEB18130;;;aucune;IGNOREE;
AEB18150;;;aucune;IGNOREE;
AEB18180;;;aucune;IGNOREE;
AEB18200;;;aucune;IGNOREE;
AEB21130;;;aucune;IGNOREE;
AEB21150;;;aucune;IGNOREE;
AEB21180;;;aucune;IGNOREE;
AEB21200;;;aucune;IGNOREE;
AEB21R130;;;aucune;IGNOREE;
AEB21R150;;;aucune;IGNOREE;
AEB21R180;;;aucune;IGNOREE;
AEB21R200;;;aucune;IGNOREE;
AEB22130;;;aucune;IGNOREE;
AEB22150;;;aucune;IGNOREE;
AEB22180;;;aucune;IGNOREE;
AEB22200;;;aucune;IGNOREE;
AEB23130;;;aucune;IGNOREE;
AEB23150;;;aucune;IGNOREE;
AEB23180;;;aucune;IGNOREE;
AEB23200;;;aucune;IGNOREE;
AEB23C130;;;aucune;IGNOREE;
AEB23C150;;;aucune;IGNOREE;
AEB23C180;;;aucune;IGNOREE;
AEB23C200;;;aucune;IGNOREE;
AEB24130150;;;aucune;IGNOREE;
AEB24150180;;;aucune;IGNOREE;
AEB24150200;;;aucune;IGNOREE;
AEB24180200;;;aucune;IGNOREE;
AEB25130;;;aucune;IGNOREE;
AEB25150;;;aucune;IGNOREE;
AEB25180;;;aucune;IGNOREE;
AEB25200;;;aucune;IGNOREE;
AEBB01080;;;aucune;IGNOREE;
AEBB01090;;;aucune;IGNOREE;
AEBB01100;;;aucune;IGNOREE;
AEBB01110;;;aucune;IGNOREE;
AEBB01120;;;aucune;IGNOREE;
AEBB01130;;;aucune;IGNOREE;
AEBB01140;;;aucune;IGNOREE;
AEBB01150;;;aucune;IGNOREE;
AEBB01160;;;aucune;IGNOREE;
AEBB01180;;;aucune;IGNOREE;
AEBB01200;;;aucune;IGNOREE;
AEBB02080;;;aucune;IGNOREE;
AEBB02090;;;aucune;IGNOREE;
AEBB02100;;;aucune;IGNOREE;
AEBB02110;;;aucune;IGNOREE;
AEBB02120;;;aucune;IGNOREE;
AEBB02130;;;aucune;IGNOREE;
AEBB02140;;;aucune;IGNOREE;
AEBB02150;;;aucune;IGNOREE;
AEBB02160;;;aucune;IGNOREE;
AEBB02180;;;aucune;IGNOREE;
AEBB02200;;;aucune;IGNOREE;
AEBB02D080;;;aucune;IGNOREE;
AEBB02D100;;;aucune;IGNOREE;
AEBB02D120;;;aucune;IGNOREE;
AEBB02D130;;;aucune;IGNOREE;
AEBB03080;;;aucune;IGNOREE;
AEBB03090;;;aucune;IGNOREE;
AEBB03100;;;aucune;IGNOREE;
AEBB03110;;;aucune;IGNOREE;
AEBB03120;;;aucune;IGNOREE;
AEBB03130;;;aucune;IGNOREE;
AEBB03140;;;aucune;IGNOREE;
AEBB03150;;;aucune;IGNOREE;
AEBB03160;;;aucune;IGNOREE;
AEBB03180;;;aucune;IGNOREE;
AEBB03200;;;aucune;IGNOREE;
AEBB09080;;;aucune;IGNOREE;
AEBB09090;;;aucune;IGNOREE;
AEBB09100;;;aucune;IGNOREE;
AEBB09110;;;aucune;IGNOREE;
AEBB09120;;;aucune;IGNOREE;
AEBB09130;;;aucune;IGNOREE;
AEBB09140;;;aucune;IGNOREE;
AEBB09150;;;aucune;IGNOREE;
AEBB09160;;;aucune;IGNOREE;
AEBB09180;;;aucune;IGNOREE;
AEBB09200;;;aucune;IGNOREE;
AEBB10080;;;aucune;IGNOREE;
AEBB10090;;;aucune;IGNOREE;
AEBB10100;;;aucune;IGNOREE;
AEBB10110;;;aucune;IGNOREE;
AEBB10120;;;aucune;IGNOREE;
AEBB10130;;;aucune;IGNOREE;
AEBB10140;;;aucune;IGNOREE;
AEBB10150;;;aucune;IGNOREE;
AEBB10160;;;aucune;IGNOREE;
AEBB10180;;;aucune;IGNOREE;
AEBB10200;;;aucune;IGNOREE;
AEBB12080;;;aucune;IGNOREE;
AEBB12090;;;aucune;IGNOREE;
AEBB12100;;;aucune;IGNOREE;
AEBB12110;;;aucune;IGNOREE;
AEBB12120;;;aucune;IGNOREE;
AEBB12130;;;aucune;IGNOREE;
AEBB12140;;;aucune;IGNOREE;
AEBB12150;;;aucune;IGNOREE;
AEBB14080;;;aucune;IGNOREE;
AEBB14090;;;aucune;IGNOREE;
AEBB14100;;;aucune;IGNOREE;
AEBB14110;;;aucune;IGNOREE;
AEBB14120;;;aucune;IGNOREE;
AEBB14130;;;aucune;IGNOREE;
AEBB14140;;;aucune;IGNOREE;
AEBB14150;;;aucune;IGNOREE;
AEBB14160;;;aucune;IGNOREE;
AEBB14180;;;aucune;IGNOREE;
AEBB14200;;;aucune;IGNOREE;
AEBB16080;;;aucune;IGNOREE;
AEBB16100;;;aucune;IGNOREE;
AEBB16120;;;aucune;IGNOREE;
AEBB16130;;;aucune;IGNOREE;
AEBB16140;;;aucune;IGNOREE;
AEBB16150;;;aucune;IGNOREE;
AEBB16B080;;;aucune;IGNOREE;
AEBB16B100;;;aucune;IGNOREE;
AEBB16B120;;;aucune;IGNOREE;
AEBB16H080;;;aucune;IGNOREE;
AEBB16H100;;;aucune;IGNOREE;
AEBB16H120;;;aucune;IGNOREE;
AEBB16H130;;;aucune;IGNOREE;
AEBB16H140;;;aucune;IGNOREE;
AEBB16H150;;;aucune;IGNOREE;
AEBBAG080100;;;aucune;IGNOREE;
AEBBAG100120;;;aucune;IGNOREE;
AEBBAG120130;;;aucune;IGNOREE;
AEBBAG120140;;;aucune;IGNOREE;
AEBBFIX080-120;;;aucune;IGNOREE;
AEBBFIX130-080;;;aucune;IGNOREE;
AEBBRED100080;;;aucune;IGNOREE;
AEBBRED10090;;;aucune;IGNOREE;
AEBBRED110080;;;aucune;IGNOREE;
AEBBRED110090;;;aucune;IGNOREE;
AEBBRED110100;;;aucune;IGNOREE;
AEBBRED120080;;;aucune;IGNOREE;
AEBBRED120100;;;aucune;IGNOREE;
AEBBRED120110;;;aucune;IGNOREE;
AEBBRED12090;;;aucune;IGNOREE;
AEBBRED130080;;;aucune;IGNOREE;
